Player,Position,Depth
DAMIEN WILLIAMS,KR,1
JARVIS LANDRY,KR,2
DION JORDAN,SUS,1
DANNY AMENDOLA,LWR,1
CHRIS HOGAN,LWR,2
KESHAWN MARTIN,LWR,3
MATTHEW SLATER,LWR,4
AARON DOBSON,LWR,5
JULIAN EDELMAN,RWR,1
NATE WASHINGTON,RWR,2
MALCOLM MITCHELL,RWR,3
CHRIS HARPER,RWR,4
DEANDRE CARTER,RWR,5
DEVIN LUCIEN,RWR,5
NATE SOLDER,LT,1
MARCUS CANNON,LT,2
CAMERON FLEMING,LT,3
SHAQUILLE MASON,LG,1
JOE THUNEY,LG,2
CHRIS BARKER,LG,3
BRYAN STORK,C,1
DAVID ANDREWS,C,2
JOSH KLINE,C,3
TRE` JACKSON,RG,1
JONATHAN COOPER,RG,2
TED KARRAS,RG,3
SEBASTIAN VOLLMER,RT,1
LAADRIAN WADDLE,RT,2
KEAVON MILTON,RT,3
ROB GRONKOWSKI,TE,1
MICHAEL WILLIAMS,TE,2
BRYCE WILLIAMS,TE,3
MARTELLUS BENNETT,TE,1
CLAY HARBOR,TE,2
AJ DERBY,TE,3
STEVEN SCHEU,TE,4
TOM BRADY,QB,1
JIMMY GAROPPOLO,QB,2
JACOBY BRISSETT,QB,3
LEGARRETTE BLOUNT,RB,1
JAMES WHITE,RB,2
JAMES DEVELIN,RB,3
DONALD BROWN,RB,4
DJ FOSTER,RB,5
DION LEWIS,RB,1
BRANDON BOLDEN,RB,2
TYLER GAFFNEY,RB,3
JOEY IOSEFA,RB,4
JABAAL SHEARD,LDE,1
CHRIS LONG,LDE,2
FRANK KEARSE,LDE,3
TERRANCE KNIGHTON,DT,1
JOE VELLANO,DT,2
VINCE VALENTINE,DT,3
WOODROW HAMILTON,DT,4
MALCOM BROWN,DT,1
ALAN BRANCH,DT,2
MARKUS KUHN,DT,3
ANTHONY JOHNSON,DT,4
ROB NINKOVICH,RDE,1
TREY FLOWERS,RDE,2
GENEO GRISSOM,RDE,3
JAMIE COLLINS,SLB,1
RUFUS JOHNSON,SLB,2
CJ JOHNSON,SLB,3
DONT'A HIGHTOWER,MLB,1
JONATHAN FREENY,MLB,2
RAMON HUMBER,MLB,3
SHEA MCCLELLIN,WLB,1
KEVIN SNYDER,WLB,2
ELANDON ROBERTS,WLB,3
MALCOLM BUTLER,LCB,1
JUSTIN COLEMAN,LCB,2
DARRYL ROBERTS,LCB,3
JONATHAN JONES,LCB,4
V'ANGELO BENTLEY,LCB,5
PATRICK CHUNG,SS,1
DURON HARMON,SS,2
NATE EBNER,SS,3
BROCK VEREEN,SS,4
KAMU HILL,SS,5
DEVIN MCCOURTY,FS,1
JORDAN RICHARDS,FS,2
BRANDON KING,FS,3
CEDRIC THOMPSON,FS,4
LOGAN RYAN,RCB,1
CYRUS JONES,RCB,2
EJ BIGGERS,RCB,3
CRE'VON LEBLANC,RCB,4
RYAN ALLEN,P,1
STEPHEN GOSTKOWSKI,PK,1
JOE CARDONA,LS,1
CHRISTIAN YOUNT,LS,2
RYAN ALLEN,H,1
DANNY AMENDOLA,PR,1
JULIAN EDELMAN,PR,2
KESHAWN MARTIN,PR,3
CYRUS JONES,PR,4
V'ANGELO BENTLEY,PR,5
DANNY AMENDOLA,KR,1
MATTHEW SLATER,KR,2
KESHAWN MARTIN,KR,3
BRANDON MARSHALL,LWR,1
DEVIN SMITH,LWR,2
KENBRELL THOMPKINS,LWR,3
TITUS DAVIS,LWR,4
JEREMY ROSS,LWR,5
QUENTON BUNDRAGE,LWR,5
ERIC DECKER,RWR,1
QUINCY ENUNWA,RWR,2
CHARONE PEAKE,RWR,3
CHANDLER WORTHY,RWR,4
ROBBY ANDERSON,RWR,5
JALIN MARSHALL,RWR,5
RYAN CLADY,LT,1
BEN IJALANA,LT,2
JAMES CARPENTER,LG,1
CRAIG WATTS,LG,2
MICHAEL LIEDTKE,LG,3
NICK MANGOLD,C,1
WESLEY JOHNSON,C,2
KYLE FRIEND,C,3
BRIAN WINTERS,RG,1
DAKOTA DOZIER,RG,2
JARVIS HARRISON,RG,3
BRENO GIACOMINI,RT,1
BRANDON SHELL,RT,2
BRENT QVALE,RT,3
JESSE DAVIS,RT,4
JACE AMARO,TE,1
KELLEN DAVIS,TE,2
ZACH SUDFELD,TE,3
WES SAXTON,TE,4
JASON VANDER LAAN,TE,5
BRANDON BOSTICK,TE,5
GENO SMITH,QB,1
BRYCE PETTY,QB,2
CHRISTIAN HACKENBERG,QB,3
TOMMY BOHANON,FB,1
MATT FORTE,RB,1
BILAL POWELL,RB,2
KHIRY ROBINSON,RB,3
ZAC STACY,RB,4
DOMINIQUE WILLIAMS,RB,5
ROMAR MORRIS,RB,5
MUHAMMAD WILKERSON,LDE,1
JARVIS JENKINS,LDE,2
JULIAN HOWSARE,LDE,3
MIKE CATAPANO,LDE,4
SHELBY HARRIS,LDE,5
STEVE MCLENDON,NT,1
DEON SIMON,NT,2
TAROW BARNEY,NT,3
CLAUDE PELON,NT,4
JULIEN OBIOHA,NT,5
SHELDON RICHARDSON,RDT,1
LEONARD WILLIAMS,RDT,2
JOSH MARTIN,RDT,3
LAWRENCE THOMAS,RDT,4
HELVA MATUNGULU,RDT,5
LORENZO MAULDIN,ROLB,1
DEION BARNES,ROLB,2
ERIN HENDERSON,RILB,1
DARRON LEE,RILB,2
DAVID HARRIS,LILB,1
BRUCE CARTER,LILB,2
TAIWAN JONES,LILB,3
TREVOR REILLY,LOLB,1
JORDAN JENKINS,LOLB,2
JULIAN STANFORD,LOLB,3
FREDDIE BISHOP,LOLB,4
DARRELLE REVIS,LCB,1
DEE MILLINER,LCB,2
DEXTER MCDOUGLE,LCB,3
KENDALL JAMES,LCB,4
BRYSON KEETON,LCB,5
CALVIN PRYOR,SS,1
DION BAILEY,SS,2
DOUG MIDDLETON,SS,3
MARCUS GILCHRIST,FS,1
RONTEZ MILES,FS,2
RONALD MARTIN,FS,3
BUSTER SKRINE,RCB,1
MARCUS WILLIAMS,RCB,2
JUSTON BURRIS,RCB,3
KEVIN SHORT,RCB,4
DARRYL MORRIS,RCB,5
LACHLAN EDWARDS,P,1
TOM HACKETT,P,2
NICK FOLK,PK,1
ROSS MARTIN,PK,2
TANNER PURDUM,LS,1
LACHLAN EDWARDS,H,1
ERIC DECKER,PR,1
JALIN MARSHALL,PR,2
KENBRELL THOMPKINS,KR,1
JALIN MARSHALL,KR,2
NICK FOLK,KO,1
KAMAR AIKEN,LWR,1
BRESHAD PERRIMAN,LWR,2
DARREN WALLER,LWR,3
DANIEL BROWN,LWR,4
CHRIS MATTHEWS,LWR,5
"STEVE SMITH,SR",RWR,1
MICHAEL CAMPANARO,RWR,2
JEREMY BUTLER,RWR,3
KAELIN CLAY,RWR,4
KAELIN CLAY,RWR,5
MIKE WALLACE,SWR,1
CHRIS MOORE,SWR,2
KEENAN REYNOLDS,SWR,3
EUGENE MONROE,LT,1
BLAINE CLAUSELL,LT,2
STEPHANE NEMBOT,LT,3
RONNIE STANLEY,LG,1
JOHN URSCHEL,LG,2
JAMES HURST,LG,3
JEREMY ZUTTAH,C,1
RYAN JENSEN,C,2
MATT SKURA,C,3
MARSHAL YANDA,RG,1
VLADIMIR DUCASSE,RG,2
JARELL BROXTON,RG,3
ANTHONY FABIANO,RG,4
RICKY WAGNER,RT,1
ALEX LEWIS,RT,2
DE'ONDRE WESLEY,RT,3
CROCKETT GILLMORE,TE,1
MAXX WILLIAMS,TE,2
BENJAMIN WATSON,TE,1
DENNIS PITTA,TE,2
JOE FLACCO,QB,1
RYAN MALLETT,QB,2
JOSH JOHNSON,QB,3
JERROD JOHNSON,QB,4
KYLE JUSZCZYK,FB,1
JUSTIN FORSETT,RB,1
JAVORIUS ALLEN,RB,2
TERRANCE WEST,RB,3
LORENZO TALIAFERRO,RB,1
KENNETH DIXON,RB,2
TRENT RICHARDSON,RB,3
TIMMY JERNIGAN,DT,1
KAPRON MOORE,DT,2
MICHAEL PIERCE,DT,3
BRANDON WILLIAMS,NT,1
CARL DAVIS,NT,2
WILLIE HENRY,NT,3
TREVON COLEY,NT,4
LAWRENCE GUY,DE,1
BRENT URBAN,DE,2
BRONSON KAUFUSI,DE,3
MARIO OJEMUDIA,DE,4
TERRELL SUGGS,OLB,1
ZA'DARIUS SMITH,OLB,2
MATT JUDON,OLB,3
ALBERT MCCLELLAN,OLB,4
CJ MOSLEY,ILB,1
BRENNEN BEYER,ILB,2
ALBERT MCCLELLAN,ILB,3
ARTHUR BROWN,ILB,1
ZACH ORR,ILB,2
CAVELLIS LUCKETT,ILB,3
ELVIS DUMERVIL,SLB,1
KAMALEI CORREA,SLB,2
CHRIS CARTER,SLB,3
VICTOR OCHI,SLB,4
LARDARIUS WEBB,LCB,1
KYLE ARRINGTON,LCB,2
SHELDON PRICE,LCB,3
JULIAN WILSON,LCB,4
JERRAUD POWERS,LCB,5
SAM BROWN,LCB,5
MAURICE CANADY,SS,1
PATRICK ONWUASOR,SS,2
ERIC WEDDLE,FS,1
KENDRICK LEWIS,FS,2
TERRENCE BROOKS,FS,3
ANTHONY LEVINE,FS,4
JIMMY SMITH,RCB,1
WILL DAVIS,RCB,2
SHAREECE WRIGHT,RCB,3
JUMAL ROLLE,RCB,4
TAVON YOUNG,RCB,5
SAM KOCH,P,1
JUSTIN TUCKER,PK,1
WIL LUTZ,PK,2
MORGAN COX,LS,1
SAM KOCH,H,1
LARDARIUS WEBB,PR,1
KAELIN CLAY,PR,2
KAELIN CLAY,KR,1
JUSTIN TUCKER,KO,1
NICK BOYLE,SUS,1
MATT ELAM,SUS,2
AJ GREEN,LWR,1
BRANDON TATE,LWR,2
CODY CORE,LWR,3
MARIO ALFORD,LWR,4
JAKE KUMEROW,LWR,5
ALONZO RUSSELL,LWR,5
BRANDON LAFELL,RWR,1
JAMES WRIGHT,RWR,2
TYLER BOYD,RWR,3
MICHAEL BENNETT,RWR,4
ALEX ERICKSON,RWR,5
ANTWANE GRANT,RWR,5
ANDREW WHITWORTH,LT,1
CEDRIC OGBUEHI,LT,2
JOHN WEIDENAAR,LT,3
CLINT BOLING,LG,1
CHRISTIAN WESTERMAN,LG,2
ALEX COOPER,LG,3
RUSSELL BODINE,C,1
TJ JOHNSON,C,2
ALEX REDMOND,C,3
KEVIN ZEITLER,RG,1
TREY HOPKINS,RG,2
TRIP THURMAN,RG,3
ERIC WINSTON,RT,1
JAKE FISHER,RT,2
AARON EPPS,RT,3
TYLER EIFERT,TE,1
TYLER KROFT,TE,2
CJ UZOMAH,TE,3
JOHN PETERS,TE,4
MATT LENGEL,TE,5
RYAN HEWITT,TE/HB,1
ANDREW BONNET,TE/HB,2
ANDY DALTON,QB,1
AJ MCCARRON,QB,2
KEITH WENNING,QB,3
JOE LICATA,QB,4
JEREMY HILL,RB,1
GIOVANI BERNARD,RB,2
CEDRIC PEERMAN,RB,3
REX BURKHEAD,RB,4
BRONSON HILL,RB,5
TRA CARSON,RB,4
DYSHAWN MOBLEY,RB,5
CARLOS DUNLAP,LDE,1
MARGUS HUNT,LDE,2
DOMATA PEKO,NT,1
PAT SIMS,NT,2
ANDREW BILLINGS,NT,3
DESHAWN WILLIAMS,NT,4
GENO ATKINS,RDT,1
BRANDON THOMPSON,RDT,2
MARCUS HARDISON,RDT,3
DAVID DEAN,RDT,4
MICHAEL JOHNSON,RDE,1
WILL CLARKE,RDE,2
RYAN BROWN,RDE,3
KARLOS DANSBY,SLB,1
TREVOR ROACH,SLB,2
JAYSON DIMANCHE,SLB,3
JEFF LUC,SLB,4
REY MAUALUGA,MLB,1
VINCENT REY,MLB,2
NICK VIGIL,MLB,3
DARIEN HARRIS,MLB,4
VONTAZE BURFICT,WLB,1
MARQUIS FLOWERS,WLB,2
PAUL DAWSON,WLB,3
DEZMOND JOHNSON,WLB,4
GIONNI PAUL,WLB,5
DRE KIRKPATRICK,LCB,1
DARQUEZE DENNARD,LCB,2
JOSH SHAW,LCB,3
DARIUS HILLARY,LCB,4
COREY TINDAL,LCB,5
GEORGE ILOKA,SS,1
SHAWN WILLIAMS,SS,2
TAYLOR MAYS,SS,3
DERRON SMITH,FS,1
CLAYTON FEJEDELEM,FS,2
FLOYD RAVEN,FS,3
ADAM JONES,RCB,1
WILLIAM JACKSON III,RCB,2
CHRIS HARRIS,RCB,3
CHYKIE BROWN,RCB,4
KEVIN HUBER,P,1
MIKE NUGENT,PK,1
ZACH HOCKER,PK,2
CLARK HARRIS,LS,1
KEVIN HUBER,H,1
MIKE NUGENT,KO,1
BRANDON TATE,PR,1
ADAM JONES,PR,2
GIOVANI BERNARD,PR,3
MARIO ALFORD,PR,4
BRANDON TATE,KR,1
ADAM JONES,KR,2
MARIO ALFORD,KR,3
JON BROWN,RES,1
COREY COLEMAN,LWR,1
ANDREW HAWKINS,LWR,2
