Player,Position,Depth
ERIC LEE,RILB,4
JADEVEON CLOWNEY,OLB,1
JOHN SIMON,OLB,2
TONY WASHINGTON,OLB,3
KAREEM JACKSON,LCB,1
KEVIN JOHNSON,LCB,2
ROBERT NELSON,LCB,3
RICHARD LEONARD,LCB,4
EDDIE PLEASANT,SS,1
KURTIS DRUMMOND,SS,2
QUINTIN DEMPS,SS,3
KJ DILLON,SS,4
ANDRE HAL,FS,1
ANTONIO ALLEN,FS,2
LONNIE BALLENTINE,FS,3
COREY MOORE,FS,4
JOHNATHAN JOSEPH,RCB,1
AJ BOUYE,RCB,2
CHARLES JAMES,RCB,3
CLEVELAND WALLACE III,RCB,4
DUKE THOMAS,RCB,5
SHANE LECHLER,P,1
NICK NOVAK,PK,1
KA'IMI FAIRBAIRN,PK,2
JONATHAN WEEKS,LS,1
SHANE LECHLER,H,1
KEITH MUMPHERY,PR,1
CECIL SHORTS,PR,2
KEITH MUMPHERY,KR,1
DAVID QUESSENBERRY,RES,1
DONTE MONCRIEF,LWR,1
QUAN BRAY,LWR,2
JOSH BOYCE,LWR,3
BRIAN TYMS,LWR,4
DANNY ANTHROP,LWR,5
MARCUS LEAK,LWR,5
TY HILTON,RWR,1
PHILLIP DORSETT,RWR,2
JOSHUA STANGBY,RWR,3
MEKALE MCKAY,RWR,4
TEVAUN SMITH,RWR,5
CHESTER ROGERS,RWR,5
ANTHONY CASTONZO,LT,1
LE'RAVEN CLARK,LT,2
KEVIN GRAF,LT,3
JACK MEWHORT,LG,1
HUGH THORNTON,LG,2
KITT O'BRIEN,LG,3
RYAN KELLY,C,1
AUSTIN BLYTHE,C,2
JONOTTHAN HARRISON,RG,1
ADAM REDMOND,RG,2
JEREMY VUJNOVICH,RG,3
DENZELLE GOOD,RT,1
JOE HAEG,RT,2
JOE REITZ,RT,3
MITCHELL VAN DYK,RT,4
DWAYNE ALLEN,TE,1
JACK DOYLE,TE,2
DARION GRISWOLD,TE,3
ERIK SWOOPE,TE,1
MICHAEL MILLER,TE,2
ANDREW LUCK,QB,1
SCOTT TOLZIEN,QB,2
STEPHEN MORRIS,QB,3
JOSH WOODRUM,QB,4
FRANK GORE,RB,1
ROBERT TURBIN,RB,2
JORDAN TODMAN,RB,3
TREY WILLIAMS,RB,4
TYLER VARGA,RB,5
JOSH FERGUSON,RB,5
KENDALL LANGFORD,LDE,1
HENRY ANDERSON,LDE,2
EARL OKINE,LDE,3
DELVON SIMMONS,LDE,4
DAVID PARRY,NT,1
ZACH KERR,NT,2
RICKY LUMPKIN,NT,3
ARTHUR JONES,DT,1
HASSAN RIDGEWAY,DT,2
TY MCGILL,DT,3
KELCY QUARLES,DT,4
STERLING BAILEY,DT,5
ERIK WALDEN,OLB,1
TREVOR BATES,OLB,2
RON THOMPSON,OLB,3
CURT MAGGITT,OLB,4
D'QWELL JACKSON,ILB,1
SIO MOORE,ILB,2
ANTONIO MORRISON,ILB,3
JUNIOR SYLVESTRE,ILB,4
NATE IRVING,ILB,1
AMARLO HERRERA,ILB,2
EDWIN JACKSON,ILB,3
TRENT COLE,OLB,1
ROBERT MATHIS,OLB,2
JOSH MCNARY,OLB,3
PATRICK ROBINSON,LCB,1
D'JOUN SMITH,LCB,2
JALIL BROWN,LCB,3
TEVIN MITCHEL,LCB,4
DANIEL DAVIE,LCB,5
FRANKIE WILLIAMS,LCB,5
MIKE ADAMS,SS,1
DEZMEN SOUTHWARD,SS,2
ANDREW WILLIAMSON,SS,3
STEFAN MCCLURE,SS,4
CLAYTON GEATHERS,FS,1
WINSTON GUY,FS,2
TJ GREEN,FS,3
VONTAE DAVIS,RCB,1
DARIUS BUTLER,RCB,2
DEVONTA WRIGHT,RCB,3
CHRIS MILTON,RCB,4
DARIUS WHITE,RCB,5
WINSTON ROSE,RCB,5
PAT MCAFEE,P,1
ADAM VINATIERI,PK,1
MATT OVERTON,LS,1
PAT MCAFEE,H,1
PAT MCAFEE,KO,1
QUAN BRAY,PR,1
PHILLIP DORSETT,PR,2
QUAN BRAY,KR,1
MIKE MCFARLAND,RES,1
ISIAH CAGE,RES,2
ALLEN ROBINSON,LWR,1
RASHAD GREENE,LWR,2
TONY WASHINGTON,LWR,3
BRYAN WALTERS,LWR,4
RASHEED BAILEY,LWR,5
ALLEN HURNS,RWR,1
MARQISE LEE,RWR,2
NEAL STERLING,RWR,3
ARRELIOUS BENN,RWR,4
SHAQUELLE EVANS,RWR,5
JAMAL ROBINSON,RWR,5
LUKE JOECKEL,LT,1
KELVIN BEACHUM,LT,2
RASHOD HILL,LT,3
MACKENZY BERNADEAU,LG,1
JEFF LINKENBACH,LG,2
KADEEM EDWARDS,LG,3
LUKE BOWANKO,C,1
TYLER SHATLEY,C,2
AJ CANN,RG,1
BRANDON LINDER,RG,2
PATRICK OMAMEH,RG,3
JERMEY PARNELL,RT,1
JOSH WELLS,RT,2
CHRIS REED,RT,3
PEARCE SLATER,RT,4
MARCEDES LEWIS,TE,1
NIC JACOBS,TE,2
BRAEDON BOWMAN,TE,3
JULIUS THOMAS,TE,1
BEN KOYACK,TE,2
BLAKE BORTLES,QB,1
CHAD HENNE,QB,2
BRANDON ALLEN,QB,3
MAX WITTEK,QB,4
CHRIS IVORY,RB,1
TJ YELDON,RB,2
DENARD ROBINSON,RB,3
JONAS GRAY,RB,4
COREY GRANT,RB,5
JOE BANYARD,RB,5
MALIK JACKSON,LDE,1
CHRIS SMITH,LDE,2
RYAN DAVIS,LDE,3
JONATHAN WOODARD,LDE,4
TYSON ALUALU,DT,1
MIKE BENNETT,DT,2
ABRY JONES,DT,3
ROY MILLER,DT,1
SEN'DERRICK MARKS,DT,2
SHELDON DAY,DT,3
RICHARD ASH,DT,4
DANTE FOWLER JR.,RDE,1
JARED ODRICK,RDE,2
QUANTERUS SMITH,RDE,3
YANNICK NGAKOUE,RDE,4
TELVIN SMITH,OLB,1
JORDAN TRIPP,OLB,2
TYRONE HOLMES,OLB,3
BJOERN WERNER,OLB,4
PAUL POSLUSZNY,MLB,1
THURSTON ARMBRISTER,MLB,2
JOPLO BARTU,MLB,3
MYLES JACK,OLB,1
DAN SKUTA,OLB,2
HAYES PULLARD,OLB,3
SEAN PORTER,OLB,4
DAVON HOUSE,LCB,1
DWAYNE GRATZ,LCB,2
PEYTON THOMPSON,LCB,3
JOSH JOHNSON,LCB,4
BRIEAN CALHOUN,LCB,5
JONATHAN CYPRIEN,SS,1
JOSH EVANS,SS,2
JAMES SAMPLE,SS,3
EARL WOLFF,SS,4
TASHAUN GIPSON,FS,1
CRAIG LOSTON,FS,2
JARROD WILSON,FS,3
JALEN RAMSEY,RCB,1
AARON COLVIN,RCB,2
PRINCE AMUKAMARA,RCB,3
DEMETRIUS MCCRAY,RCB,4
NICK MARSHALL,RCB,5
MIKE HILTON,RCB,4
RASHAAD REYNOLDS,RCB,5
BRAD NORTMAN,P,1
JASON MYERS,PK,1
CARSON TINKER,LS,1
BRAD NORTMAN,H,1
NICK MARSHALL,PR,1
DENARD ROBINSON,KR,1
NICK MARSHALL,KR,2
JUSTIN BLACKMON,SUS,1
HARRY DOUGLAS,LWR,1
DORIAL BECKHAM,LWR,2
TAJAE SHARPE,LWR,3
BEN ROBERTS,LWR,4
KENDALL WRIGHT,RWR,1
JUSTIN HUNTER,RWR,2
TRE MCBRIDE,RWR,3
ANDREW TURZILLI,RWR,4
REECE HORN,RWR,5
RISHARD MATTHEWS,SWR,1
TAYLOR LEWAN,LT,1
WILLIAM POEHLS,LT,2
TYLER MARZ,LT,3
JEREMIAH POUTASI,LG,1
QUINTON SPAIN,LG,2
JOSUE MATIAS,LG,3
BRIAN SCHWENKE,C,1
BEN JONES,C,2
ANDY GALLIK,C,3
CHANCE WARMACK,RG,1
SEBASTIAN TRETOLA,RG,2
NICK RITCHER,RG,3
JACK CONKLIN,RT,1
SAM CARLSON,RT,2
DELANIE WALKER,TE,1
CRAIG STEVENS,TE,2
JEROME CUNNINGHAM,TE,3
ANTHONY FASANO,TE,1
PHILLIP SUPERNAW,TE,2
ALEX ELLIS,TE,3
MARCUS MARIOTA,QB,1
MATT CASSEL,QB,2
ALEX TANNEY,QB,3
DEMARCO MURRAY,RB,1
DERRICK HENRY,RB,2
ANTONIO ANDREWS,RB,3
BISHOP SANKEY,RB,4
DEXTER MCCLUSTER,RB,5
DAVID COBB,RB,4
DAVID FLUELLEN,RB,5
JALSTON FOWLER,FB,1
SAM BERGEN,FB,2
DAQUAN JONES,LDE,1
ROPATI PITOITUA,LDE,2
MEHDI ABDESMAD,LDE,3
TERRELL LATHAN,LDE,4
AL WOODS,NT,1
AUSTIN JOHNSON,NT,2
ANTWAUN WOODS,NT,3
JURRELL CASEY,DT,1
KARL KLUG,DT,2
ANGELO BLACKSON,DT,3
MICHAEL SMITH,DT,4
DERRICK MORGAN,LOLB,1
DEIONTREZ MOUNT,LOLB,2
JUSTIN STAPLES,LOLB,3
WESLEY WOODYARD,LILB,1
CURTIS GRANT,LILB,2
AARON WALLACE,LILB,3
AVERY WILLIAMSON,RILB,1
SEAN SPENCE,RILB,2
NATE PALMER,RILB,3
BRIAN ORAKPO,ROLB,1
KEVIN DODD,ROLB,2
DAVID BASS,ROLB,3
JR TAVAI,ROLB,4
BRICE MCCAIN,LCB,1
PERRISH COX,LCB,2
BLIDI WILSON,LCB,3
CODY RIGGS,LCB,4
CURTIS RILEY,LCB,5
BENNETT OKOTCHA,LCB,5
DA'NORRIS SEARCY,SS,1
KEVIN BYARD,SS,2
DAIMION STAFFORD,SS,3
MARQUESTON HUFF,FS,1
ANTWON BLAKE,FS,2
RASHAD JOHNSON,FS,3
LAMARCUS BRUTUS,FS,4
JASON MCCOURTY,RCB,1
LESHAUN SIMS,RCB,2
BW WEBB,RCB,3
JOSH AUBREY,RCB,4
KALAN REED,RCB,5
BRETT KERN,P,1
RYAN SUCCOP,P,2
RYAN SUCCOP,PK,1
BRETT KERN,PK,2
ALDRICK ROSAS,PK,3
BEAU BRINKLEY,LS,1
ANTONIO ANDREWS,LS,2
BRETT KERN,H,1
RYAN SUCCOP,KO,1
BRETT KERN,KO,2
HARRY DOUGLAS,PR,1
ANTONIO ANDREWS,KR,1
MORGAN BURNS,RET,1
BYRON BELL,RES,1
DEMARYIUS THOMAS,LWR,1
BENNIE FOWLER,LWR,2
JORDAN TAYLOR,LWR,3
BRALON ADDISON,LWR,4
MOSE FRAZIER,LWR,5
EMMANUEL SANDERS,RWR,1
JORDAN NORWOOD,RWR,2
CODY LATIMER,RWR,3
DEVIER POSEY,RWR,4
DURRON NEAL,RWR,5
KALIF RAYMOND,RWR,5
RUSSELL OKUNG,LT,1
TY SAMBRAILO,LT,2
LARS HANSON,LT,3
MAX GARCIA,LG,1
JUSTIN MURRAY,LG,2
AARON NEARY,LG,3
MATT PARADIS,C,1
JAMES FERENTZ,C,2
SAM BRENNER,C,3
DILLON DAY,C,4
CONNOR MCGOVERN,RG,1
ROBERT MYERS,RG,2
CAMERON JEFFERSON,RG,3
DONALD STEPHENSON,RT,1
MICHAEL SCHOFIELD,RT,2
DARRION WEEMS,RT,3
KYLE ROBERTS,RT,4
VIRGIL GREEN,TE,1
MANASSEH GARNER,TE,2
HENRY COBLE,TE,3
JEFF HEUERMAN,TE,1
GARRETT GRAHAM,TE,2
MARK SANCHEZ,QB,1
TREVOR SIEMIAN,QB,2
PAXTON LYNCH,QB,3
JUWAN THOMPSON,RB,1
CYRUS GRAY,RB,2
DEVONTAE BOOKER,RB,3
CJ ANDERSON,RB,1
RONNIE HILLMAN,RB,2
KAPRI BIBBS,RB,3
VIRGIL GREEN,FB,1
JUWAN THOMPSON,FB,2
ANDY JANOVICH,FB,3
DEREK WOLFE,LDE,1
VANCE WALKER,LDE,2
CALVIN HEURTELOU,LDE,3
SHANEIL JENKINS,LDE,4
SYLVESTER WILLIAMS,NT,1
DARIUS KILGO,NT,2
PHIL TAYLOR,NT,3
DAVID MOALA,NT,4
JARED CRICK,RDE,1
ADAM GOTSIS,RDE,2
EDDIE YARBROUGH,RDE,3
KYLE PEKO,RDE,4
VON MILLER,SLB,1
SHAQUIL BARRETT,SLB,2
VONTARRIUS DORA,SLB,3
SADAT SULLEYMAN,SLB,4
KYLE KRAGEN,SLB,5
DEMARCUS WARE,WLB,1
SHANE RAY,WLB,2
KENNY ANUNIKE,WLB,3
ZAIRE ANDERSON,WLB,4
DWAYNE NORMAN,WLB,5
BRANDON MARSHALL,ILB,1
COREY NELSON,ILB,2
DEKODA WATSON,ILB,3
TODD DAVIS,ILB,1
FRANK SHANNON,ILB,2
AQIB TALIB,LCB,1
KAYVON WEBSTER,LCB,2
LORENZO DOSS,LCB,3
BRANDIAN ROSS,LCB,4
TJ WARD,SS,1
WILLIAM PARKS,SS,2
SHILOH KEO,SS,3
DARIAN STEWART,FS,1
JUSTIN SIMMONS,FS,2
ANTONIO GLOVER,FS,3
CHRIS HARRIS,RCB,1
BRADLEY ROBY,RCB,2
TAUREAN NIXON,RCB,3
BJ LOWERY,RCB,4
JOHN TIDWELL,RCB,5
BRITTON COLQUITT,P,1
RILEY DIXON,P,2
BRANDON MCMANUS,PK,1
BRANDON MCMANUS,KO,1
CASEY KREITER,LS,1
NATHAN THEUS,LS,2
BRITTON COLQUITT,H,1
EMMANUEL SANDERS,PR,1
EMMANUEL SANDERS,KR,1
ALBERT WILSON,LWR,1
FRANKIE HAMMOND,LWR,2
DE'ANTHONY THOMAS,LWR,3
DA'RON BROWN,LWR,4
KASHIF MOORE,LWR,5
MITCH MATHEWS,LWR,5
JEREMY MACLIN,RWR,1
ROD STREATER,RWR,2
CHRIS CONLEY,RWR,3
TYREEK HILL,RWR,4
DEMARCUS ROBINSON,RWR,5
KENNY COOK,RWR,4
MIKE WILLIAMS,RWR,5
ERIC FISHER,LT,1
CURTIS FEIGT,LT,2
JARROD PUGHSLEY,LG,1
PARKER EHINGER,LG,2
GARRICK MAYWEATHER,LG,3
MITCH MORSE,C,1
ZACH FULTON,C,2
DREW NOWAK,C,3
DANIEL MUNYER,C,4
LAURENT TARDIF,RG,1
JORDAN DEVEY,RG,2
ZACH STERUP,RG,3
MITCHELL SCHWARTZ,RT,1
JAH REID,RT,2
REID FRAGEL,RT,3
TRAVIS KELCE,TE,1
JAMES O'SHAUGHNESSY,TE,2
DEMETRIUS HARRIS,TE,3
BRIAN PARKER,TE,4
ROSS TRAVIS,TE,5
ALEX SMITH,QB,1
AARON MURRAY,QB,2
KEVIN HOGAN,QB,3
TYLER BRAY,QB,4
ANTHONY SHERMAN,FB,1
SPENCER WARE,FB,2
TREY MILLARD,FB,3
JAMAAL CHARLES,RB,1
CHARCANDRICK WEST,RB,2
SPENCER WARE,RB,3
KNILE DAVIS,RB,4
DARRIN REAVES,RB,5
CHRIS JONES,LDE,1
RAKEEM ROCHES,LDE,2
JIMMY STATEN,LDE,3
DOMINIQUE DAVIS,LDE,4
JAYE HOWARD,NT,1
DONTARI POE,NT,2
ALAMEDA TA'AMU,NT,3
DAVID KING,NT,4
ALLEN BAILEY,RDE,1
NICHOLAS WILLIAMS,RDE,2
JUSTIN HOUSTON,LOLB,1
FRANK ZOMBO,LOLB,2
DADI NICOLAS,LOLB,3
ANDY MULUMBA,LOLB,4
DERRICK JOHNSON,LILB,1
DJ ALEXANDER,LILB,2
TYRELL ADAMS,LILB,3
JOSH MAUGA,RILB,1
RAMIK WILSON,RILB,2
TERRANCE SMITH,RILB,3
TAMBA HALI,ROLB,1
DEE FORD,ROLB,2
JONATHAN MASSAQUOI,ROLB,3
DEZMAN MOSES,ROLB,4
JUSTIN MARCH,ROLB,5
MARCUS PETERS,LCB,1
KEIVARAE RUSSELL,LCB,2
MARCUS COOPER,LCB,3
DEVERON CARR,LCB,4
VERNON HARRIS,LCB,5
TRE JONES,LCB,5
JAMELL FLEMING,SS,1
STEVIE BROWN,SS,2
RON PARKER,SS,3
SHAKIEL RANDOLPH,SS,4
PENI VEA,SS,5
ERIC BERRY,FS,1
DANIEL SORENSEN,FS,2
PHILLIP GAINES,RCB,1
STEVEN NELSON,RCB,2
ERIC MURRAY,RCB,3
DJ WHITE,RCB,4
SHANNON EDWARDS,RCB,5
DUSTIN COLQUITT,P,1
CAIRO SANTOS,P,2
CAIRO SANTOS,PK,1
DUSTIN COLQUITT,PK,2
JAMES WINCHESTER,LS,1
DUSTIN COLQUITT,H,1
CAIRO SANTOS,KO,1
DUSTIN COLQUITT,KO,2
FRANKIE HAMMOND,PR,1
KNILE DAVIS,KR,1
TAUTVYDAS KIERAS,RES,1
MICHAEL CRABTREE,LWR,1
SETH ROBERTS,LWR,2
MAXWELL MCCAFFREY,LWR,3
JOHNNY HOLTON,LWR,4
JAYDON MICKENS,LWR,5
NATHAN PALMER,LWR,5
AMARI COOPER,RWR,1
ANDRE HOLMES,RWR,2
KJ BRENT,RWR,3
JOE HANSLEY,RWR,4
MARVIN HALL,RWR,5
DONALD PENN,LT,1
MATT MCCANTS,LT,2
GABE JACKSON,LG,1
JON FELICIANO,LG,2
ONI OMOILE,LG,3
DENVER KIRKLAND,LG,4
RODNEY HUDSON,C,1
ROSS BURBANK,C,2
KELECHI OSEMELE,RG,1
VADAL ALEXANDER,RG,2
MITCHELL BELL,RG,3
TERRAN VAUGHN,RG,4
AUSTIN HOWARD,RT,1
MENELIK WATSON,RT,2
TORIAN WHITE,RT,3
CLIVE WALFORD,TE,1
LEE SMITH,TE,2
MYCHAL RIVERA,TE,3
GABE HOLMES,TE,4
COLTON UNDERWOOD,TE,5
RYAN O'MALLEY,TE,5
DEREK CARR,QB,1
MATT MCGLOIN,QB,2
CONNOR COOK,QB,3
MARCEL REECE,FB,1
JAMIZE OLAWALE,FB,2
LATAVIUS MURRAY,RB,1
TAIWAN JONES,RB,2
ROY HELU,RB,3
GEORGE ATKINSON,RB,4
DEANDRE WASHINGTON,RB,5
JALEN RICHARD,RB,5
MARIO EDWARDS JR.,RDE,1
DENICO AUTRY,RDE,2
JIHAD WARD,RDE,3
DAMONTRE MOORE,RDE,4
JUSTIN ELLIS,NT,1
STACY MCGEE,NT,2
DAN WILLIAMS,LDT,1
LEON ORR,LDT,2
DARIUS LATHAM,LDT,3
KHALIL MACK,LDE,1
DREW IDDINGS,LDE,2
GREG TOWNSEND JR.,LDE,3
BRANDEN JACKSON,LDE,4
BRUCE IRVIN,SLB,1
SHILIQUE CALHOUN,SLB,2
JOHN LOTULELEI,SLB,3
JAMES COWSER,SLB,4
BEN HEENEY,MLB,1
DAREN BATES,MLB,2
CORY JAMES,MLB,3
KYRIE WILSON,MLB,4
MALCOLM SMITH,WLB,1
KOREY TOOMER,WLB,2
JIMMY HALL,WLB,3
NEIRON BALL,WLB,4
SEAN SMITH,LCB,1
DJ HAYDEN,LCB,2
NEIKO THORPE,LCB,3
DEXTER MCDONALD,LCB,4
KENNETH DURDEN,LCB,5
KARL JOSEPH,S,1
TRAVIS CARRIE,S,2
NATE ALLEN,S,3
CHRIS HACKETT,S,4
CHRIS EDWARDS,S,5
REGGIE NELSON,S,1
DEXTER MCDONALD,S,2
DEWEY MCDONALD,S,3
BRYNDEN TRAWICK,S,4
DAVID AMERSON,RCB,1
KEITH MCGILL,RCB,2
SAQWAN EDWARDS,RCB,3
ANTONIO HAMILTON,RCB,4
TRAVIS CARRIE,N-B,1
MARQUETTE KING,P,1
SEBASTIAN JANIKOWSKI,PK,1
GIORGIO TAVECCHIO,PK,2
JON CONDO,LS,1
ANDREW EAST,LS,2
SEBASTIAN JANIKOWSKI,KO,1
MARQUETTE KING,H,1
TRAVIS CARRIE,PR,1
JOE HANSLEY,PR,2
TAIWAN JONES,KR,1
ALDON SMITH,SUS,1
TRAVIS BENJAMIN,LWR,1
JAVONTEE HERNDON,LWR,2
ISAIAH BURSE,LWR,3
JAMAAL JONES,LWR,4
DEANDRE REAVES,LWR,5
KEENAN ALLEN,RWR,1
DONTRELLE INMAN,RWR,2
TYRELL WILLIAMS,RWR,3
TORRENCE ALLEN,RWR,4
DOM WILLIAMS,RWR,5
STEVIE JOHNSON,SWR,1
KING DUNLAP,LT,1
CHRIS HAIRSTON,LT,2
TYLER JOHNSTONE,LT,3
ORLANDO FRANKLIN,LG,1
KENNY WIGGINS,LG,2
VI TEOFILO,LG,3
MATT SLAUSON,C,1
MAX TUERK,C,2
CHRIS WATT,C,3
TREVOR ROBINSON,C,4
SPENCER PULLEY,C,5
DJ FLUKER,RG,1
DONAVON CLARK,RG,2
MIKE MCQUEEN,RG,3
JOE BARKSDALE,RT,1
TYREEK BURWELL,RT,2
BRETT BOYKO,RT,3
HUNTER HENRY,TE,1
SEAN MCGRATH,TE,2
TIM SEMISCH,TE,3
MATT WEISER,TE,4
ANTONIO GATES,TE,1
ASANTE CLEVELAND,TE,2
JEFF CUMBERLAND,TE,3
PHILIP RIVERS,QB,1
KELLEN CLEMENS,QB,2
ZACH METTENBERGER,QB,3
MIKE BERCOVICI,QB,4
MELVIN GORDON,RB,1
DANNY WOODHEAD,RB,2
BRANDEN OLIVER,RB,3
DREAMIUS SMITH,RB,4
KENNETH FARROW,RB,5
DEREK WATT,FB,1
CHRIS SWAIN,FB,2
JOEY BOSA,LDE,1
DARIUS PHILON,LDE,2
BEN GARDNER,LDE,3
CARLOS WRAY,LDE,4
BRANDON MEBANE,NT,1
SEAN LISSEMORE,NT,2
RYAN CARRETHERS,NT,3
CHUKA NDULUE,NT,4
COREY LIUGET,DT,1
TENNY PALEPOI,DT,2
DAMION SQUARE,DT,3
JEREMIAH ATTAOCHU,LOLB,1
TOUREK WILLIAMS,LOLB,2
TYLER MARCORDES,LOLB,3
MANTI TE'O,LILB,1
JOSHUA PERRY,LILB,2
JAMES ROSS,LILB,3
DENZEL PERRYMAN,RILB,1
NICK DZUBNAR,RILB,2
JATAVIS BROWN,RILB,3
MELVIN INGRAM,ROLB,1
KYLE EMANUEL,ROLB,2
SHAQ PETTEWAY,ROLB,3
CHRIS LANDRUM,ROLB,4
BRANDON FLOWERS,LCB,1
STEVE WILLIAMS,LCB,2
GREG DUCRE,LCB,3
TREVOR WILLIAMS,LCB,4
JAHLEEL ADDAE,SS,1
ADRIAN MCDONALD,SS,2
DWIGHT LOWERY,FS,1
DARRELL STUCKEY,FS,2
ADRIAN PHILLIPS,FS,3
DEXTER MCCOIL,FS,4
JASON VERRETT,RCB,1
CRAIG MAGER,RCB,2
RICHARD CRAWFORD,RCB,3
LARRY SCOTT,RCB,4
TERRELL CHESTNUT,RCB,5
CASEY HAYWARD,N-B,1
KASEY REDFERN,P,1
DREW KASER,P,2
JOSH LAMBO,PK,1
MIKE WINDT,LS,1
KASEY REDFERN,H,1
JAVONTEE HERNDON,PR,1
DANNY WOODHEAD,PR,2
JAVONTEE HERNDON,KR,1
DANNY WOODHEAD,KR,2
JOSH LAMBO,KO,1
BROCK HEKKING,RES,1
MATT DANIELS,RES,2
DEZ BRYANT,LWR,1
DEVIN STREET,LWR,2
VINCE MAYLE,LWR,3
CHRIS BROWN,LWR,4
TERRANCE WILLIAMS,RWR,1
BRICE BUTLER,RWR,2
RODNEY SMITH,RWR,3
ANDY JONES,RWR,4
COLE BEASLEY,SWR,1
LUCKY WHITEHEAD,SWR,2
ED EAGAN,SWR,3
TYRON SMITH,LT,1
CHARLES BROWN,LT,2
DAVID HEDELIN,LT,3
LA'EL COLLINS,LG,1
RONALD CF LEARY,LG,2
BOSTON STIVERSON,LG,3
TRAVIS FREDERICK,C,1
JOE LOONEY,C,2
JAKE BRENDEL,C,3
ZACK MARTIN,RG,1
JARED SMITH,RG,2
DOUG FREE,RT,1
CHAZ GREEN,RT,2
RYAN MACK,RT,3
JASON WITTEN,TE,1
GAVIN ESCOBAR,TE,2
RICO GATHERS,TE,3
JAMES HANNA,TE,1
GEOFF SWAIM,TE,2
AUSTIN TRAYLOR,TE,3
TONY ROMO,QB,1
KELLEN MOORE,QB,2
DAK PRESCOTT,QB,3
JAMEILL SHOWERS,QB,4
EZEKIEL ELLIOTT,RB,1
DARREN MCFADDEN,RB,2
ALFRED MORRIS,RB,3
LANCE DUNBAR,RB,4
DARIUS JACKSON,RB,5
ROD SMITH,RB,5
RYAN RUSSELL,LDE,1
CHARLES TAPPER,LDE,2
BENSON MAYOWA,LDE,3
CALEB AZUBIKE,LDE,4
CEDRIC THORNTON,LDT,1
TERRELL MCCLAIN,LDT,2
CASEY WALKER,LDT,3
RODNEY COE,LDT,4
TYRONE CRAWFORD,RDT,1
MALIEK COLLINS,RDT,2
JACK CRAWFORD,RDT,3
JUSTIN RENFROW,RDT,4
DEMARCUS LAWRENCE,RDE,1
DAVID IRVING,RDE,2
MICHAEL MCADOO,RDE,3
ZACH WOOD,RDE,4
ANTHONY HITCHENS,SLB,1
KYLE WILBER,SLB,2
JERRELL HARRIS,SLB,3
DEON KING,SLB,4
ROLANDO MCCLAIN,MLB,1
ANDREW GACHKAR,MLB,2
KEITH SMITH,MLB,3
SEAN LEE,WLB,1
DAMIEN WILSON,WLB,2
MARK NZEOCHA,WLB,3
DEREK AKUNNE,WLB,4
JAYLON SMITH,WLB,5
BRANDON CARR,LCB,1
JOSH THOMAS,LCB,2
BRANDON MCGEE,LCB,3
ARJEN COLQUHOUN,LCB,4
BYRON JONES,FS,1
JJ WILCOX,FS,2
JEFF HEATH,FS,3
BARRY CHURCH,SS,1
KAVON FRAZIER,SS,2
MORRIS CLAIBORNE,RCB,1
ANTHONY BROWN,RCB,2
DEJI OLATOYE,RCB,3
TERRANCE MITCHELL,RCB,4
JEREMIAH MCKINNON,RCB,5
ORLANDO SCANDRICK,N-B,1
ROLAN MILLIGAN,N-B,2
CHRIS JONES,P,1
DAN BAILEY,PK,1
MATT WILE,PK,2
LP LADOUCEUR,LS,1
CHRIS JONES,H,1
LUCKY WHITEHEAD,PR,1
COLE BEASLEY,PR,2
LUCKY WHITEHEAD,KR,1
COLE BEASLEY,KR,2
RANDY GREGORY,SUS,1
ODELL BECKHAM JR.,LWR,1
GEREMY DAVIS,LWR,2
MYLES WHITE,LWR,3
ROGER LEWIS,LWR,4
DONTE FOSTER,LWR,5
KADRON BOONE,LWR,5
VICTOR CRUZ,RWR,1
DWAYNE HARRIS,RWR,2
STERLING SHEPARD,RWR,3
TAVARRES KING,RWR,4
ANTHONY DABLE,RWR,5
DARIUS POWE,RWR,4
KJ MAYE,RWR,5
ERECK FLOWERS,LT,1
BRETT JONES,LT,2
JAKE RODGERS,LT,3
JUSTIN PUGH,LG,1
DILLON FARRELL,LG,2
RYAN SEYMOUR,LG,3
WESTON RICHBURG,C,1
SHANE MCDERMOTT,C,2
JOHN JERRY,RG,1
ADAM GETTIS,RG,2
MARSHALL NEWHOUSE,RT,1
BOBBY HART,RT,2
BYRON STINGILY,RT,3
EMMETT CLEARY,RT,4
LARRY DONNELL,TE,1
WILL TYE,TE,2
JERELL ADAMS,TE,3
MATT LACOSSE,TE,4
RYAN MALLECK,TE,5
ELI MANNING,QB,1
RYAN NASSIB,QB,2
BJ DANIELS,QB,3
RASHAD JENNINGS,RB,1
ANDRE WILLIAMS,RB,2
SHANE VEREEN,RB,3
PAUL PERKINS,RB,4
ORLEANS DARKWA,RB,5
MARSHAUN COPRICH,RB,4
BOBBY RAINEY,RB,5
NIKITA WHITLOCK,FB,1
WILL JOHNSON,FB,2
OWAMAGBE ODIGHIZUWA,LDE,1
KERRY WYNN,LDE,2
STANSLY MAPONGA,LDE,3
BRAD BARS,LDE,4
JOHNATHAN HANKINS,LDT,1
LOUIS NIX III,LDT,2
MELVIN LEWIS,LDT,3
DAMON HARRISON,RDT,1
JAY BROMLEY,RDT,2
MONTORI HUGHES,RDT,3
GREG MILHOUSE JR,RDT,4
OLIVIER VERNON,RDE,1
JASON PAUL,RDE,2
MIKE ROSE,RDE,3
